Project Name,Postal Code
CASSIA VIEW,['399746']
CASTLE GREEN,"['787056', '787057', '787058', '787059']"
CASTLE LOFT,['425770']
CASUARINA COVE,"['436904', '436915', '436916']"
CAVAN SUITES,['209848']
CAVENDISH PARK,"['597593', '597594', '597595']"
CELADON VIEW,['507029']
CELESTIA,['427305']
CENTENNIA SUITES,['239427']
CENTRA HEIGHTS,['387607']
CENTRA LOFT,['387935']
CENTRA RESIDENCE,['388792']
CENTRA STUDIOS,['388302']
CENTRA SUITES,['388242']
CENTRAL GREEN CONDOMINIUM,"['169479', '169480', '169481', '169483']"
CENTRAL GROVE,"['389778', '389779']"
CENTRAL IMPERIAL,['398915']
CENTRAL MEADOWS,['398240']
CENTRAL VIEW,"['538749', '538750']"
CENTRINA,['428524']
CENTRO MANSIONS,['398280']
CENTRO RESIDENCES,['567752']
CENTURY MANSIONS,['668671']
CENTURY VILLE,['258707']
CEYLON CREST,['429623']
CEYLON POINT,['429674']
CEYLON RESIDENCE,['429690']
CHANCERY CORNER,['309495']
CHANCERY COURT,"['309426', '309427', '309428', '309429', '309430', '309431', '309432', '309433']"
CHANCERY ESQUIRE,['309494']
CHANCERY GARDEN,['309655']
CHANCERY PARK,"['309502', '309499']"
CHANCERY VILLE,['309493']
CHANGI COMPLEX,"['469552', '469553', '469557', '469558']"
CHANGI COURT,"['486828', '486830', '486832', '486834', '486836', '486838']"
CHANGI GARDEN,"['509310', '509312', '509314', '509316', '509318', '509320', '509322', '509324', '509326', '509328', '509330', '509332', '509333', '509334', '509335', '509336']"
CHANGI GREEN,"['486842', '486843', '486847', '486849', '486850']"
CHANGI RISE CONDOMINIUM,"['528804', '528805', '528807', '528808', '528800', '528809', '528810', '528811', '528801', '528802', '528803']"
CHANTILLY RISE,['669581']
CHAPEL COURT,"['424247', '424248']"
CHAPEL LODGE,"['425032', '425034', '425036', '425038', '425040', '425042', '425044', '425046', '425048', '425050', '425052']"
CHAPEL MANSION,['429515']
CHAR YONG GARDENS,"['229157', '229158']"
CHARISMA VIEW,['598671']
CHARLES VILLE,['534996']
CHARLESTON,['248184']
CHARLTON CORNER,['539631']
CHARLTON GARDEN,['539667']
CHARLTON LODGE,"['539653', '539654', '539655']"
CHARMING GARDEN,"['268156', '268157']"
CHATEAU ELIZA,['228514']
CHATEAU LE FAME,['259345']
CHATELET,"['258541', '258542']"
CHELSEA GARDENS,['257652']
CHELSEA GROVE,['328626']
CHELSEA LODGE,['437083']
CHEN FANG MANSIONS,['387986']
CHENG HOE HOUSE,['548036']
CHERRY GARDENS,"['536491', '536492']"
CHERRYHILL,"['536467', '536468', '536469', '536470', '536471']"
CHESTNUT VILLE,"['678604', '678605', '678606', '678607', '678611', '678613', '678614', '678617', '678620', '678621', '678622', '678623', '678596', '678634', '678636', '678637', '679087', '679089', '678598']"
CHEZ BRIGHT APARTMENT,['238106']
CHIKU MANSIONS,['429421']
CHILTERN PARK,"['556112', '556113', '556114']"
CHINATOWN PLAZA,['89673']
CHIVERTON,['259343']
CHNG MANSIONS,['439828']
CHONG KIM APARTMENT,['309838']
CHOON KIM HOUSE,['534649']
CHUAN PARK,"['556743', '556744', '556745', '556747', '556748']"
CHUN TIN COURT,"['596318', '596326']"
CITIGATE RESIDENCE,['218437']
CITY EDGE,['308133']
CITY GATE,['199597']
CITY LOFT,['218636']
CITY PLAZA,['409286']
CITY REGENCY,['327977']
CITY SQUARE RESIDENCES,"['207225', '207224', '207223', '207229', '207227', '207226']"
CITY STUDIOS,['218745']
CITY SUITES,['329699']
CITYLIGHTS,"['208766', '208741', '208745', '208747', '208749']"
CITYSCAPE @FARRER PARK,['219067']
CITYVALE,['228153']
CLAREMONT,['239569']
CLAVON,"['129963', '129964']"
CLAYMORE PLAZA,['229571']
CLEMENTI PARK,"['597149', '597150', '597151', '597152', '597153', '597154', '597155', '597156', '597157', '597158', '597159']"
CLEMENTIWOODS CONDOMINIUM,"['126815', '126816', '126817', '126818', '126819', '126810']"
CLIFTEN,['259342']
CLOVER BY THE PARK,"['573973', '573975']"
CLUNY PARK RESIDENCE,['257496']
CLYDES RESIDENCE,['219054']
CLYDESVIEW,['159192']
CLYDESWOOD,['359425']
COASTAL BREEZE RESIDENCES,"['509050', '509051', '509049']"
COASTAL VIEW RESIDENCES,"['509432', '506926']"
COASTARINA,['459135']
COASTLINE RESIDENCES,"['439953', '439854']"
COCO PALMS,"['518140', '518141', '518142', '518143', '518144', '518070', '518071', '518072', '518073', '518074', '518075', '518076']"
COMMONWEALTH TOWERS,"['149739', '149740']"
COMPASS HEIGHTS,"['545076', '545075']"
CONCORDE RESIDENCES,['298127']
CONCOURSE SKYLINE,"['199599', '199554']"
CORALIS,['427710']
CORALS AT KEPPEL BAY,"['98012', '98017', '98018', '98019', '98020', '98021', '98022', '98016']"
CORONA VILLE,['268535']
CORONATION ARCADE,['269406']
CORONATION GROVE,"['269525', '269526']"
CORONATION SHOPPING PLAZA,['269707']
COSMO,['399914']
COSTA DEL SOL,"['469986', '469987', '469988', '469990', '469991', '469992', '469993']"
COSTA ESTE,['425653']
COSTA RHU,"['437431', '437433', '437434', '437436']"
COSY 23,['398355']
COSY LODGE,['388029']
COTE D'AZUR,"['449297', '449298', '449300', '449301', '449302']"
COUNTRY ESQUIRE,['576438']
COUNTRY GRANDEUR,['576439']
COUNTRY PARK CONDOMINIUM,"['469360', '469361', '469564', '469565', '469566', '469567', '469568', '469569']"
CRADELS,['328754']
CRAIG PLACE,['89692']
CRANE COURT,['429381']
CRESCENDO BUILDING,"['455208', '455209', '455210', '455289', '455290', '455211', '455291', '455293', '455294']"
CRESCENDO PARK,['457269']
CROWN CENTRE,['269694']
CRYSTAL COURT,['248342']
CRYSTAL DE AZURE,['538645']
CRYSTAL DEW,['389781']
CRYSTAL HEIGHTS,['118885']
CRYSTAL LODGE,['398870']
CRYSTAL MANSIONS,['399165']
CRYSTAL RHU,['436889']
CUBE 8,['298130']
CUBIK,['425711']
CULFORD GARDEN,['455281']
CURZON LODGE,['228867']
CUSCADEN RESERVE,['249732']
CUSCADEN RESIDENCES,"['249722', '249723']"
CYAN,"['258709', '258710']"
D - HERITAGE APARTMENTS,['417659']
D' ALMIRA,"['358262', '358265']"
D' CASITA,['417104']
D' CASTILIA,['428104']
D' DALVEY,['259555']
D' EVELYN,['309307']
D' FRESCO,['428109']
D' HILLSIDE LOFT,['118853']
D' IXORAS,['308172']
D' MARINE,['427701']
D' PALMA,['416817']
D'BANYAN,['769468']
D'CAMBRIDGE,"['219757', '219758']"
D'CHATEAU @ SHELFORD,"['288415', '288416']"
D'ECOSIA,"['423936', '423937']"
D'EVELYN,['309307']
D'FOCUS APARTMENTS,['438789']
D'GALLERY,['418936']
D'GROVE VILLAS,['258343']
D'HIRO@HILLSIDE,['549010']
D'LEEDON,"['267955', '266224', '266225', '267951', '267952', '267953', '267954']"
D'LOTUS,['328784']
D'MIRA,['329602']
D'NEST,"['518178', '518179', '518130', '518131', '518132', '518133', '518134', '518135', '518136', '518137', '518138', '518139']"
D'OASIA,"['416905', '416908']"
D'PAVILION,"['534671', '534163']"
D'SAVILLE,['428268']
D'SUNRISE,['428094']
D'WEAVE,['387866']
D'ZIRE,['546290']
D-MANSIONS,['439275']
DAHLIA PARK CONDOMINIUM,"['507009', '507010', '507011', '507012', '507013']"
DAINTREE RESIDENCE,"['596157', '596158', '596159', '596126', '596127', '596128', '596129', '596133', '596130', '596131', '596132', '596134']"
DAIRY FARM ESTATE,['679053']
DAIRY FARM RESIDENCES,"['677625', '677615', '677623', '677624']"
DAISY APARTMENTS,"['359450', '359451', '359452', '359453']"
DAISY LODGE,['359426']
DAISY SUITES,['359455']
DAKOTA RESIDENCES,"['399936', '399937', '399938', '399939', '399940']"
DALVEY COURT,['259548']
DATOH COURT,['329420']
DAWN VILLE,['439444']
DE ANGELO,['329417']
DE CASALLE,['425236']
DE CENTURION,['436884']
DE LENTE,['278547']
DE PARADISO,['328644']
DE ROYALE,"['329111', '329112']"
DELFI ORCHARD,['238876']
DELIGHT COURT,['387982']
DENG FU VILLE,['417777']
DERBY COURT,['309461']
DERBYSHIRE HEIGHTS,['309459']
DERBYSHIRE MANSIONS,['309467']
DEVONSHIRE 12,['239847']
DEVONSHIRE LODGE,['239856']
